Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled
COVIDSafe,Australia,https://www.health.gov.au/resources/apps-and-tools/covidsafe-app,yes,yes,21 days,yes,yes,yes,yes,no,yes,yes,yes,both,no,yes,no,yes,ble,yes,none,"1,000,000",3.1,WPRO,released,2020-04-26,
Stopp Corona,Austria,https://www.roteskreuz.at/site/faq-app-stopp-corona/datenschutzinformation-zur-stopp-corona-app/#c253470,yes,yes,14 days,yes,yes,yes,yes,yes,yes,yes,yes,android only,yes,yes,yes,yes,ble,no (self-report),Apple/Google,"100,000",3.3,EURO,released,2020-03-27,
BeAware,Bahrain,https://play.google.com/store/apps/details?id=bh.bahrain.corona.tracker,yes,no,no,no,no,no,no,no,no,no,yes,android only,no,no,no,no,gps + ebracelet,yes,none,"100,000",4.5,EMRO,released,2020-04-09,
Corona Tracer BD,Bangladesh,https://play.google.com/store/apps/details?id=com.shohoz.tracer&hl=en_US,yes,no,14 days,yes,yes,yes,no (heatmap),no,no,yes,yes,android only,yes,yes,yes,yes,ble + gps,unknown,none,"500,000",3.5,SEARO,released,2020-06-03,
Romware Radius,Belgium,https://rombit.be/covid-solutions/,no,no,14 days,no,no,no,yes,no,no,no,no,eBracelet,no,no,no,no,ebracelet,unknown,none,,,EURO,released,,
Coronalert,Belgium,https://coronalert.be/en/,yes,yes,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,DP3T,"1,000,000",2.8,EURO,released,2020-09-16,
WeHealth Bermuda,Bermuda,https://www.gov.bm/wehealthpilot,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,500,,NORAM,released,2020-11-08,
Tô de Olho,Brazil,https://todeolho.mprn.mp.br/,yes,yes,no,yes,yes,unknown,no (heatmap),no,no,yes,yes,both,no,unknown,no,no,gps,unknown,none,"10,000",3.7,LATAM,released,2020-03-30,
Coronavírus - SUS,Brazil,https://www.gov.br/pt-br/apps/coronavirus-sus,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,no,no,yes,both,unknown,unknown,yes,yes,ble,yes,Apple/Google,"5,000,000",3.6,LATAM,released,2020-07-26,
ViruSafe,Bulgaria,https://virusafe.info/,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,both,unknown,unknown,no,unknown,ble + gps,unknown,none,"10,000",3.5,EURO,released,2020-04-07,
Unmaze,Bulgaria,http://cyborgsys.com/unmaze/,no,no,no,unknown,unknown,unknown,unknown,unknown,no,no,no,unknown,unknown,unknown,unknown,unknown,gps + wifi,unknown,none,,,EURO,released,,
ABTraceTogether,Canada,https://www.alberta.ca/ab-trace-together-privacy.aspx,yes,yes,21 days,yes,yes,yes,yes,yes,no,yes,yes,both,no,yes,no,yes,ble,yes,OpenTrace,"100,000",1.1,NORAM,released,2020-05-01,
MyTrace,Canada,https://www.mytrace.ca/,no,unknown,28 days,yes,yes,yes,unknown,no,no,yes,yes,both,yes,yes,no,no,gps,unknown,none,,,NORAM,cancelled,,
Covi,Canada,https://covicanada.org/?gclid=CjwKCAjw8J32BRBCEiwApQEKgYT17Ril920EAZBfnUYbJWm81Q5bj-TBpwzTUtWVT0JZA1FKtUBMKhoC96sQAvD_BwE,no,yes,30 days,yes,yes,yes,yes,no,yes,yes,yes,both,yes,yes,yes,yes,ble,no (AI),none,,,NORAM,development,,
ConTrac,Canada,https://livnao.com/covid19/,no,no,no,no,no,unknown,unknown,no,no,no,no,unknown,unknown,unknown,no,unknown,unknown,unknown,none,,,NORAM,released,2020-04-25,
COVID Alert,Canada,https://www.canada.ca/en/public-health/services/diseases/coronavirus-disease-covid-19/covid-alert/privacy-policy/assessment.html#a2,yes,yes,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000,000",3.6,NORAM,released,2020-07-30,
flaat,Canada,https://app.flaat.io/,no,unknown,unknown,yes,yes,yes,yes,unknown,yes,yes,yes,iOS only,yes,yes,yes,yes,ble,yes,TCN,,,NORAM,cancelled,,
Alipay Health Code + Close Contact Detector,China,https://www.nytimes.com/2020/03/01/business/china-coronavirus-surveillance.html,yes,unknown,unknown,no,no,no,unknown,no,no,no,yes,both,no,no,no,unknown,ble + gps + qr code,unknown,none,,,WPRO,released,,
CoronApp,Colombia,https://coronaviruscolombia.gov.co/test/aislamiento-saludable/coronapp.html,yes,unknown,unknown,yes,unknown,yes,yes,yes,no,no,yes,both,yes,unknown,no,yes,no,unknown,OpenTrace,"10,000,000",3.7,LATAM,released,2020-03-15,
Stop COVID-19,Croatia,https://github.com/Stop-COVID-19-Croatia?language=java,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"50,000",3.6,EURO,released,2020-07-21,
CovTracer,Cyprus,https://covid-19.rise.org.cy/en/,yes,no,14 days,yes,yes,yes,no (heatmap),yes,no,no,yes,both,yes,yes,yes,na,gps,unknown,SafePaths,"1,000",4.3,EURO,released,2020-05-15,
ERouška,Czechia,https://erouska.cz,yes,no,30 days,yes,yes,yes,yes,no,yes,yes,yes,both,yes,yes,no,yes,ble,yes,none,"1,000,000",3.8,EURO,released,2020-04-12,
Smittestop,Denmark,https://smittestop.dk/en,yes,yes,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"500,000",2.7,EURO,released,2020-06-16,
ASI,Ecuador,https://asiecuador.com/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,DP3T,"500,000",3.3,LATAM,released,2020-08-01,
HOIA,Estonia,https://hoia.me/en/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.3,EURO,released,2020-08-17,
CoCOVID,EU,https://cocovid.info/,no,unknown,30 days,yes,yes,unknown,unknown,no,no,no,yes,unknown,yes,unknown,unknown,unknown,ble,unknown,none,,,EURO,cancelled,,
careFIJI,Fiji,https://carefiji.digitalfiji.gov.fj/,yes,no,28 days,yes,yes,yes,yes,no,no,yes,yes,both,yes,yes,no,yes,ble,yes,OpenTrace,"50,000",3.6,WPRO,released,2020-05-24,
Koronavilkku,Finland,https://koronavilkku.fi/en/,yes,no,21 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000,000",3.6,EURO,released,2020-08-26,
TousAntiCovid,France,https://www.gouvernement.fr/info-coronavirus/tousanticovid,yes,yes,15 days,yes,yes,yes,no,no,no,yes,yes,both,yes,yes,yes,yes,ble,unknown,ROBERT,"5,000,000",3.5,EURO,released,2020-05-31,
Stop Covid,Georgia,https://play.google.com/store/apps/details?id=gov.georgia.novid20,yes,no,5 days,yes,yes,yes,yes,no,yes,yes,yes,both,yes,yes,no,no,ble,yes,PEPP-PT,"100,000",3.8,EURO,released,2020-04-04,
Corona GO,Germany,https://corona-go.de/,no,yes,yes,yes,yes,yes,yes,unknown,yes,yes,yes,unknown,unknown,yes,no,unknown,ble,unknown,PEPP-PT,,,EURO,cancelled,,2020-04-14
