Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled,has_protocol,state,protocol_other,score
COVIDSafe,Australia,https://www.health.gov.au/resources/apps-and-tools/covidsafe-app,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,none,"1,000,000",3.1,WPRO,released,2020-04-26,,no,,none,6.5
Stopp Corona,Austria,https://www.roteskreuz.at/site/faq-app-stopp-corona/datenschutzinformation-zur-stopp-corona-app/#c253470,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,Apple/Google,"100,000",3.3,EURO,released,2020-03-27,,yes,,Apple/Google,7.5
BeAware,Bahrain,https://play.google.com/store/apps/details?id=bh.bahrain.corona.tracker,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,none,"100,000",4.5,EMRO,released,2020-04-09,,no,,none,1.5
Corona Tracer BD,Bangladesh,https://play.google.com/store/apps/details?id=com.shohoz.tracer&hl=en_US,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,none,"500,000",3.5,SEARO,released,2020-06-03,,no,,none,5.0
Romware Radius,Belgium,https://rombit.be/covid-solutions/,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,none,,,EURO,released,,,no,,none,1.0
Coronalert,Belgium,https://coronalert.be/en/,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,"1,000,000",2.8,EURO,released,2020-09-16,,yes,,DP3T/TCN,8.0
WeHealth Bermuda,Bermuda,https://www.gov.bm/wehealthpilot,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,Apple/Google,500,,NORAM,released,2020-11-08,,yes,,Apple/Google,7.0
Tô de Olho,Brazil,https://todeolho.mprn.mp.br/,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,none,"10,000",3.7,LATAM,released,2020-03-30,,no,,none,2.6666666666666665
Coronavírus - SUS,Brazil,https://www.gov.br/pt-br/apps/coronavirus-sus,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,Apple/Google,"5,000,000",3.6,LATAM,released,2020-07-26,,yes,,Apple/Google,3.333333333333333
ViruSafe,Bulgaria,https://virusafe.info/,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,none,"10,000",3.5,EURO,released,2020-04-07,,no,,none,3.1666666666666665
