name,country,links,platform,data_type,bluetooth,gps,centralized,status,data_storage,linkage_method,protocol,anon_method,central_id_storage,data_persistence_days,government,contact_trace_aid,opt_in,open_source,encryption,covid_positive_verification,quarantine_enforcement,notes
COVIDSafe,Australia,https://www.health.gov.au/resources/apps-and-tools/covidsafe-app,mobile app,bluetooth,yes,no,,,local,exchange temporary ids,BlueTrace,pseudonymous,yes,21,yes,yes,yes,yes,yes,test,,based on TraceTogether
Coronavirus Australia,Australia,health.gov.au,mobile app,,no,no,,,,,,,,,yes,no,,,,,,
Stopp Corona,Austria,https://www.roteskreuz.at/site/faq-app-stopp-corona/datenschutzinformation-zur-stopp-corona-app/#c253470,mobile app,bluetooth,yes,no,,,local,exchange temporary ids,p2pkit,pseudonymous,no,14,yes,yes,yes,,yes,,,
BeAware,Bahrain,https://play.google.com/store/apps/details?id=bh.bahrain.corona.tracker,mobile app,gps + bluetooth,yes,yes,yes,released,central,,,none,yes,14,yes,yes,yes,no,,test,yes,
ViruSafe,Bulgaria,https://play.google.com/store/apps/details?id=bg.government.virusafe,mobile app,gps + bluetooth,yes,yes,,,,,,,yes,,yes,yes,yes,yes,,,,
Alipay Health Code + Close Contact Detector,China,https://www.nytimes.com/2020/03/01/business/china-coronavirus-surveillance.html,mobile app,gps + bluetooth + commerce,yes,yes,yes,released,central,,,none,yes,unlimited,yes,yes,no,no,,,yes,"required to present colour code at all public settings for services, travel, etc."
CoronApp,Colombia,https://coronaviruscolombia.gov.co/test/aislamiento-saludable/coronapp.html,mobile app,gps + bluetooth,yes,yes,,,,,,,yes,,yes,,,,,,,based on TraceTogether
CovTracer,Cyprus,https://covid-19.rise.org.cy/en/,mobile app,gps,no,yes,,,local,,SafePaths,,yes,14,yes,yes,yes,yes,yes,,no,MIT SafePaths
ERouška,Czechia,erouska.cz,mobile app,bluetooth,yes,no,,,local,,,,,,yes,yes,yes,yes,,,,
PEPP-PT,EU,https://www.pepp-pt.org/,mobile app,bluetooth,yes,no,no,,,,,,,,,yes,yes,yes,,,,
StopCovid,France,https://techcrunch.com/2020/04/08/france-is-officially-working-on-stop-covid-contact-tracing-app/,mobile app,bluetooth,yes,no,yes,,central,,PEPP-PT,pseudonymous,yes,,yes,yes,yes,yes,,,,ROBERT
,Germany,https://www.bloomberg.com/news/articles/2020-04-27/germany-taps-sap-deutsche-telekom-for-contact-tracing-app,mobile app,bluetooth,yes,no,,,local,,DP3T,pseudonymous,no,,yes,yes,yes,,,,,In development
Ito,Germany,https://www.ito-app.org/,mobile app,bluetooth,yes,no,,,local,"exchange temporary ids; when test positive, upload id generating function",TCN,anonymous,no,,no,yes,yes,,,,,
GH COVID-19 Tracker App,Ghana,https://ghcovid19.com/,mobile app,gps,no,yes,,,,,,,,,yes,yes,yes,no,,,,
